E_tot total_M cv chi temp
-1.60881 0.832374 1.20066 3.20203 2.15 
-1.54826 0.788054 1.37385 4.23746 2.2 
-1.46511 0.683225 1.92375 17.9478 2.25 
-1.37127 0.549511 1.88047 23.9084 2.3 
-1.27505 0.355879 1.60832 28.1476 2.35 
