E_tot total_M cv chi temp
-1.60836 0.830259 1.43775 11.4977 2.15 
-1.54623 0.786336 1.39526 3.87457 2.2 
-1.4629 0.67933 1.85991 20.5825 2.25 
-1.34981 0.385972 2.17885 103.138 2.3 
-1.26513 0.182932 1.37825 46.253 2.35 
