E_tot total_M cv chi temp
-1.60747 0.827133 1.36971 9.9835 2.15 
-1.54712 0.787569 1.36835 3.89477 2.2 
-1.4607 0.671488 1.99907 23.8879 2.25 
-1.35617 0.452993 2.1055 61.3059 2.3 
-1.2702 0.26246 1.45267 42.437 2.35 
