E_tot total_M cv chi temp
-1.60839 0.82911 1.48886 12.9665 2.15 
-1.54587 0.782402 1.37497 5.02941 2.2 
-1.46281 0.678935 2.08026 26.6263 2.25 
-1.34922 0.368748 1.98314 116.806 2.3 
-1.266 0.156167 1.31828 50.922 2.35 
