E_tot total_M cv chi temp
-1.9957 0.998525 0.034326 0.0043413 1
-1.9898 0.996475 0.0670941 0.00972754 1.1
-1.9852 0.99505 0.0816138 0.0126683 1.2
-1.9782 0.993025 0.10207 0.0157349 1.3
-1.9657 0.988725 0.137599 0.0233154 1.4
-1.9487 0.983525 0.177721 0.0318429 1.5
-1.9275 0.9753 0.2196 0.0447873 1.6
-1.9021 0.967175 0.257738 0.0551412 1.7
-1.8717 0.957575 0.297456 0.0671947 1.8
-1.8279 0.943375 0.351226 0.0837497 1.9
-1.8082 0.9369 0.350013 0.0874368 2
-1.766 0.922925 0.37809 0.0984704 2.1
-1.7204 0.908125 0.400846 0.109448 2.2
-1.6768 0.89465 0.415533 0.118046 2.3
-1.6623 0.8857 0.39511 0.124476 2.4
-1.5973 0.865725 0.420885 0.133172 2.5
-1.5678 0.8559 0.409706 0.135054 2.6
-1.5169 0.8393 0.410214 0.140445 2.7
-1.4688 0.824725 0.408279 0.144273 2.8
-1.442 0.815875 0.3945 0.145014 2.9
-1.3945 0.801 0.387009 0.148099 3
