E_tot total_M cv chi temp
-1.99 0.995 0.0796 0.0099 1
-2 0.9975 0 0.00452273 1.1
-1.98 0.995 0.11 0.00825 1.2
-1.95 0.985 0.230769 0.0300769 1.3
-1.93 0.9775 0.275714 0.052125 1.4
-1.99 0.9975 0.0353778 0.00331667 1.5
-1.92 0.9675 0.24 0.0629844 1.6
-1.95 0.985 0.134948 0.0288824 1.7
-1.88 0.96 0.278519 0.0575556 1.8
-1.83 0.9525 0.344709 0.0663026 1.9
-1.92 0.9825 0.1536 0.0168875 2
-1.68 0.92 0.5239 0.0925714 2.1
-1.66 0.88 0.466446 0.132909 2.2
-1.6 0.855 0.483932 0.17213 2.3
-1.64 0.87 0.41 0.142667 2.4
-1.73 0.93 0.298944 0.07216 2.5
-1.6 0.8775 0.402367 0.117298 2.6
-1.7 0.88 0.279835 0.108296 2.7
-1.53 0.845 0.366888 0.115679 2.8
-1.39 0.79 0.422307 0.159862 2.9
-1.3 0.77 0.404444 0.156133 3
