E_tot total_M cv chi temp
-1.99572 0.998542 0.0341667 0.0044165 1
-1.99146 0.997123 0.0562217 0.00778353 1.1
-1.98527 0.995012 0.0812306 0.0126046 1.2
-1.97468 0.991522 0.118341 0.0193596 1.3
-1.95996 0.98688 0.16032 0.0276082 1.4
-1.94273 0.98088 0.198222 0.0371385 1.5
-1.92425 0.974988 0.228128 0.0450266 1.6
-1.89485 0.964855 0.2766 0.059529 1.7
-1.87047 0.956725 0.300348 0.0678606 1.8
-1.83658 0.945782 0.334243 0.0795773 1.9
-1.80525 0.93501 0.353412 0.0892726 2
-1.76066 0.920495 0.385484 0.102231 2.1
-1.72661 0.90879 0.394213 0.108942 2.2
-1.68875 0.896522 0.402195 0.116172 2.3
-1.64082 0.88108 0.415076 0.125405 2.4
-1.60487 0.869897 0.413371 0.128751 2.5
-1.56441 0.855527 0.410936 0.135364 2.6
-1.52319 0.842087 0.407853 0.139048 2.7
-1.4833 0.82932 0.401603 0.141794 2.8
-1.44643 0.815913 0.391315 0.145049 2.9
-1.40304 0.802222 0.384284 0.146527 3
