E_tot total_M cv chi temp
-1.993 0.9975 0.055804 0.007975 1
-1.992 0.99725 0.052681 0.00679068 1.1
-1.986 0.9945 0.0772333 0.0140658 1.2
-1.986 0.9945 0.0658083 0.0114454 1.3
-1.965 0.9875 0.140357 0.023125 1.4
-1.91 0.97075 0.3056 0.0580518 1.5
-1.912 0.97075 0.2629 0.0525486 1.6
-1.902 0.96725 0.257988 0.0589469 1.7
-1.883 0.963 0.271989 0.0547356 1.8
-1.835 0.94725 0.335485 0.0770367 1.9
-1.832 0.94375 0.311776 0.0784219 2
-1.753 0.915 0.392736 0.112905 2.1
-1.762 0.92175 0.349881 0.0940944 2.2
-1.711 0.909 0.379946 0.105598 2.3
-1.655 0.883 0.404844 0.124685 2.4
-1.638 0.87875 0.387172 0.119077 2.5
-1.646 0.881 0.349517 0.114368 2.6
-1.522 0.844 0.407965 0.142095 2.7
-1.52 0.834 0.380408 0.141706 2.8
-1.48 0.828 0.379358 0.139194 2.9
-1.374 0.7875 0.391166 0.159792 3
