E_tot total_M cv chi temp
-1.99602 0.998675 0.0317982 0.00397533 1
-1.99158 0.997191 0.055445 0.00763768 1.1
-1.98492 0.994976 0.0831498 0.0124778 1.2
-1.97472 0.991575 0.118237 0.019229 1.3
-1.96097 0.986989 0.156354 0.0273901 1.4
-1.94373 0.981251 0.194743 0.0365438 1.5
-1.92233 0.974151 0.233832 0.046788 1.6
-1.89734 0.965829 0.27044 0.0575409 1.7
-1.86858 0.956247 0.304417 0.0687172 1.8
-1.83637 0.945567 0.334721 0.0797297 1.9
-1.80181 0.934094 0.359571 0.0902629 2
-1.76448 0.921688 0.380136 0.100342 2.1
-1.72592 0.908897 0.394897 0.109333 2.2
-1.6856 0.895608 0.405565 0.11745 2.3
-1.64574 0.882331 0.410659 0.124335 2.4
-1.6039 0.868565 0.413451 0.130476 2.5
-1.56309 0.854987 0.411976 0.135532 2.6
-1.52164 0.841342 0.408324 0.13966 2.7
-1.48124 0.827991 0.402067 0.142748 2.8
-1.44165 0.815008 0.393973 0.145019 2.9
-1.40222 0.80202 0.384632 0.146747 3
