E_tot total_M cv chi temp
-1.99695 0.998952 0.0573505 0.0887424 1 31451
-1.98855 0.997007 0.0678796 0.00600228 1.2 119560
-1.96813 0.991394 0.143994 0.0168849 1.4 345068
-1.92778 0.979461 0.262771 0.0434148 1.6 808345
-1.85911 0.956765 0.439478 0.114736 1.8 1.65527e+06
-1.74622 0.911267 0.729822 0.402346 2 3.16e+06
-1.55187 0.795422 1.27711 2.59725 2.2 5.93882e+06
-1.23907 0.458706 1.43709 8.82941 2.4 1.07402e+07
