E_tot total_M cv chi temp
-1.99714 0.999271 0.0233596 0.00157047 1 28936
-1.9885 0.996999 0.0681199 0.00599793 1.2 119854
-1.96796 0.991362 0.143772 0.0166707 1.4 344223
-1.92796 0.979524 0.267126 0.0438672 1.6 806265
-1.85953 0.957057 0.429191 0.107888 1.8 1.65075e+06
-1.74359 0.908948 0.754667 0.572086 2 3.18938e+06
-1.55045 0.792931 1.30757 2.81603 2.2 5.96192e+06
-1.23178 0.44343 1.39089 8.91528 2.4 1.08509e+07
